흑,백,덤,결과,대국일자,대국명,제한시간,초읽기 횟수,초읽기 시간,대국룰,흑번국가,백번국가
申眞諝,申旻埈,6.5,B+R,2023-03-22,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
申眞諝,洪性志,6.5,B+R,2023-03-21,第24回マキシムコーヒー杯入神最強戦準決勝,600.0,5,40,japanese,kr,kr
関航太郎,申眞諝,6.5,W+R,2023-03-19,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
朴廷桓,沈載益,6.5,B+R,2025-05-02,2024-2025韓国囲碁リーグプレーオフ,60.0,,,japanese,kr,kr
申眞諝,安国鉉,6.5,B+R,2023-03-16,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
沈載益,申眞諝,6.5,W+R,2023-03-12,第2期韓国棋院選手権戦グループリーグ勝者戦,5400.0,3,60,japanese,kr,kr
申眞諝,朴廷桓,6.5,B+R,2023-03-10,2022-2023ハナ銀行MZ囲碁スーパーマッチ第9局,600.0,,,japanese,kr,kr
申眞諝,卞相壹,6.5,B+R,2023-03-07,第24回マキシムコーヒー杯入神最強戦3回戦,600.0,5,40,japanese,kr,kr
黄雲嵩,申眞諝,7.5,W+R,2023-02-18,第24回中国囲碁甲級リーグ優勝決定戦第2戦,7200.0,5,60,chinese,ch,kr
申眞諝,黄雲嵩,7.5,W+R,2023-02-17,第24回中国囲碁甲級リーグ優勝決定戦第1戦,7200.0,5,60,chinese,kr,ch
許嘉陽,申眞諝,7.5,W+R,2023-02-15,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,tp,kr
申眞諝,許嘉陽,7.5,B+R,2023-02-14,第24回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,tp
申眞諝,李軒豪,7.5,W+R,2022-12-21,第14回春蘭杯世界囲碁選手権準決勝,7200.0,,,chinese,kr,ch
申眞諝,柯潔,7.5,B+R,2022-12-19,第14回春蘭杯世界囲碁選手権3回戦,7200.0,,,chinese,kr,ch
朴廷桓,偰玹準,6.5,B+R,2025-05-01,2024-2025韓国囲碁リーグプレーオフ,60.0,,,japanese,kr,kr
許嘉陽,申眞諝,7.5,W+R,2022-09-18,第24回中国囲碁甲級リーグ,7200.0,,,chinese,tp,kr
謝爾豪,申眞諝,7.5,B+R,2022-09-09,第24回中国囲碁甲級リーグ,7200.0,,,chinese,ch,kr
柯潔,申眞諝,7.5,W+R,2022-08-25,第24回中国囲碁甲級リーグ,60.0,5,60,chinese,ch,kr
周睿羊,申眞諝,7.5,W+R,2022-08-11,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
党毅飛,申眞諝,7.5,W+R,2022-08-10,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
申眞諝,李翔宇,7.5,B+R,2022-08-08,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
申眞諝,李維清,7.5,W+R,2022-08-06,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
蒋其潤,申眞諝,7.5,W+R,2022-08-05,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
申眞諝,羋昱廷,7.5,W+R,2022-08-04,第24回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
丁浩,申眞諝,7.5,W+R,2022-01-20,第23回中国囲碁甲級リーグ優勝決定戦第2戦,7200.0,5,60,chinese,ch,kr
朴廷桓,偰玹準,6.5,W+R,2025-04-24,2024-2025韓国囲碁リーグプレーオフ,60.0,,,japanese,kr,kr
